Gene,gene_length
ACSF2,641
ACSF3,577
ACSL1,699
ACSL3,721
ACSL4,712
ACSL5,740
ACSL6,723
ACSM1,578
ACSM2A,578
ACSM2B,578
ACSM3,587
ACSM4,581
ACSM5,580
ACSM6,481
ACSS1,690
ACSS2,715
ACSS3,687
ACTA1,378
ACTA2,378
ACTB,376
ACTBL2,377
ACTC1,378
ACTG1,376
ACTG2,377
ACTL10,246
ACTL6A,430
ACTL6B,427
ACTL7A,436
ACTL7B,416
ACTL8,367
ACTL9,417
ACTN1,931
ACTN2,895
ACTN3,945
ACTN4,912
ACTR10,418
ACTR1A,377
ACTR1B,377
ACTR2,400
ACTR3,419
ACTR3B,419
ACTR3C,222
ACTR5,608
ACTR6,397
ACTR8,625
ACTRT1,377
ACTRT2,378
ACTRT3,373
ACVR1,510
ACVR1B,547
ACVR1C,494
ACVR2A,514
ACVR2B,513
ACVRL1,518
ACY1,62
ACY3,320
ACYP1,130
ACYP2,173
ADA,364
ADA2,512
ADAD1,577
ADAD2,666
ADAL,356
ADAM10,749
ADAM11,770
ADAM12,910
ADAM15,864
ADAM17,825
ADAM18,740
ADAM19,956
ADAM2,736
ADAM20,777
ADAM21,723
ADAM22,907
ADAM23,833
ADAM28,776
ADAM29,821
ADAM30,791
ADAM32,788
ADAM33,814
ADAM7,777
ADAM8,825
ADAM9,820
ADAMDEC1,471
ADAMTS1,968
ADAMTS10,1104
ADAMTS12,1595
ADAMTS13,1428
ADAMTS14,1227
ADAMTS15,951
ADAMTS16,1225
ADAMTS17,1096
ADAMTS18,1222
ADAMTS19,1214
ADAMTS2,1212
ADAMTS20,1911
ADAMTS3,1206
ADAMTS4,838
ADAMTS5,931
ADAMTS6,1118
ADAMTS7,1687
ADAMTS8,890
ADAMTS9,1936
ADAMTSL1,1763
ADAMTSL2,1061
ADAMTSL3,1692
ADAMTSL4,1098
ADAMTSL5,472
ADAP1,386
ADAP2,388
ADAR,1227
ADARB1,742
ADARB2,740
ADAT1,503
ADAT2,192
ADAT3,368
ADCK1,524
ADCK2,627
ADCK5,581
ADCY1,1120
ADCY10,1611
ADCY2,1092
ADCY3,1146
ADCY4,1078
ADCY5,1262
ADCY6,1169
ADCY7,1081
ADCY8,1252
ADCY9,1354
ADCYAP1,177
ADCYAP1R1,525
ADD1,769
ADD2,727
ADD3,707
ADGB,1668
ADGRA1,1280
ADGRA2,1339
ADGRA3,1322
ADGRB1,1585
ADGRB2,1586
ADGRB3,1523
ADGRD1,907
ADGRE1,887
ADGRE2,832
ADGRE3,653
ADGRE5,836
ADGRF1,911
ADGRF2,709
ADGRF3,1080
ADGRF4,753
ADGRF5,1347
ADGRG1,694
ADGRG2,1018
ADGRG3,550
ADGRG4,3081
ADGRG5,529
ADGRG6,1251
ADGRG7,798
ADGRL1,1475
ADGRL2,1475
ADGRL3,1581
ADGRL4,691
ADGRV1,6307
ADH1A,376
ADH1B,376
ADH1C,376
ADH4,400
ADH5,375
ADH6,376
ADH7,395
ADHFE1,468
ADI1,180
ADIG,81
ADIPOQ,245
ADIPOR1,376
ADIPOR2,387
ADIRF,77
ADK,363
ADM,186
ADM2,149
ADM5,154
ADNP,1103
ADNP2,1132
ADO,271
ADORA1,327
ADORA2A,413
ADORA2B,333
ADORA3,319
ADPGK,497
ADPRH,358
ADPRHL1,1968
ADPRHL2,364
ADPRM,343
ADRA1A,476
ADRA1B,521
ADRA1D,573
ADRA2A,466
ADRA2B,451
ADRA2C,463
ADRB1,478
ADRB2,414
ADRB3,409
ADRM1,408
ADSL,499
ADSS,457
ADSSL1,501
ADTRP,249
AEBP1,1159
AEBP2,518
AEN,326
AES,265
AF241726.2,280
AFAP1,815
AFAP1L1,769
AFAP1L2,819
AFDN,1835
AFF1,1219
AFF2,1312
AFF3,1252
AFF4,1164
AFG1L,482
AFG3L2,798
AFM,600
AFMID,309
AFP,623
AFTPH,937
AGA,347
AGAP1,1070
AGAP2,1193
AGAP3,912
AGAP4,687
AGAP5,687
AGAP6,687
AGAP9,659
AGBL1,1113
AGBL2,905
AGBL3,921
AGBL4,504
AGBL5,887
AGER,421
AGFG1,585
AGFG2,482
AGGF1,715
AGK,423
AGL,1533
AGMAT,353
AGMO,446
AGO1,858
AGO2,860
AGO3,861
AGO4,862
AGPAT1,284
AGPAT2,279
AGPAT3,377
AGPAT4,379
AGPAT5,365
AGPS,659
AGR2,189
AGR3,167
AGRN,2046
AGRP,133
AGT,486
AGTPBP1,1279
AGTR1,395
AGTR2,364
AGTRAP,160
AGXT,393
AGXT2,515
AHCTF1,2302
AHCY,433
AHCYL1,531
AHCYL2,612
AHDC1,1604
AHI1,1197
AHNAK,5891
AHNAK2,5796
AHR,849
AHRR,720
AHSA1,339
AHSG,369
AHSP,103
AICDA,199
AIDA,307
AIF1,162
AIF1L,177
AIFM1,614
AIFM2,374
AIFM3,606
AIG1,246
AIM2,344
AIMP1,337
AIMP2,321
AIP,331
AIPL1,385
AIRE,546
AJAP1,412
AJM1,977
AJUBA,539
AK1,211
AK2,240
AK3,228
AK4,224
AK5,563
AK6,173
AK7,724
AK8,480
AK9,1912
AKAIN1,77
AKAP1,904
AKAP10,663
AKAP11,1902
AKAP12,1783
AKAP13,2818
AKAP14,198
AKAP17A,696
AKAP2,52
AKAP3,854
AKAP4,855
AKAP5,428
AKAP6,2320
AKAP7,351
AKAP8,693
AKAP8L,647
AKAP9,3911
AKIP1,211
AKIRIN1,193
AKIRIN2,204
AKNA,1440
AKNAD1,837
AKR1A1,326
AKR1B1,317
AKR1B10,317
AKR1B15,345
AKR1C1,324
AKR1C2,324
AKR1C3,324
AKR1C4,324
AKR1C8P,327
AKR1D1,327
AKR1E2,321
AKR7A2,360
AKR7A3,332
AKR7L,331
AKT1,481
AKT1S1,277
AKT2,482
AKT3,480
AKTIP,294
AL021997.3,85
AL022312.1,71
AL022318.4,387
AL031281.2,192
AL031315.1,233
AL031777.3,170
AL032819.3,268
AL034430.1,51
AL034430.2,64
AL035078.4,332
AL035425.2,1255
AL035460.1,255
AL049629.2,103
AL049634.2,173
AL096814.1,128
AL096870.1,446
AL110118.2,166
AL117348.2,360
AL121578.2,149
AL121758.1,95
AL121900.2,223
AL132671.2,419
AL133500.1,371
AL136295.1,246
AL136373.1,178
AL136454.1,157
AL139011.2,272
AL139300.1,172
AL139353.1,68
AL160272.2,56
AL162231.1,88
AL162231.3,280
AL162417.1,132
AL162596.1,96
AL163195.3,96
AL353572.3,78
AL354761.1,182
AL355102.2,76
AL355315.1,480
AL358075.4,82
AL358113.1,1320
AL360181.3,340
AL365214.3,128
AL391650.1,64
AL445238.1,110
AL445989.1,130
AL451007.3,183
AL512428.1,1069
AL512785.2,150
AL590132.1,483
AL645922.1,1267
AL662820.1,80
AL662899.1,89
AL662899.2,305
AL669918.1,675
AL672043.1,96
AL672142.1,107
AL691442.1,239
AL772284.2,325
AL845331.2,348
ALAD,331
ALAS1,641
ALAS2,588
ALB,610
ALCAM,584
ALDH16A1,803
ALDH18A1,796
ALDH1A1,502
ALDH1A2,519
ALDH1A3,513
ALDH1B1,518
ALDH1L1,913
ALDH1L2,924
ALDH2,518
ALDH3A1,454
ALDH3A2,509
ALDH3B1,469
ALDH3B2,386
ALDH4A1,564
ALDH5A1,549
ALDH6A1,536
ALDH7A1,555
ALDH8A1,488
ALDH9A1,519
ALDOA,362
ALDOB,365
ALDOC,365
ALG1,465
ALG10,474
ALG10B,474
ALG11,493
ALG12,489
ALG13,1138
ALG14,217
ALG1L,208
ALG1L2,216
ALG2,417
ALG3,439
ALG5,325
ALG6,508
ALG8,527
ALG9,845
ALK,1621
ALKAL1,130
ALKAL2,153
ALKBH1,390
ALKBH2,262
ALKBH3,287
ALKBH4,303
ALKBH5,395
ALKBH6,267
ALKBH7,222
ALKBH8,668
ALLC,392
ALMS1,4169
ALOX12,664
ALOX12B,702
ALOX15,663
ALOX15B,677
ALOX5,675
ALOX5AP,219
ALOXE3,868
ALPG,533
ALPI,529
ALPK1,1245
ALPK2,2171
ALPK3,1908
ALPL,525
ALPP,536
ALS2,1658
ALS2CL,954
ALS2CR12,446
ALX1,327
ALX3,344
ALX4,412
ALYREF,265
AMACR,395
AMBN,448
AMBP,353
AMBRA1,1299
AMD1,335
AMDHD1,427
AMDHD2,595
AMELX,206
AMELY,207
AMER1,1136
AMER2,672
AMER3,862
AMFR,644
AMH,561
AMHR2,574
AMIGO1,494
AMIGO2,523
AMIGO3,505
AMMECR1,334
AMMECR1L,311
AMN,454
AMN1,259
AMOT,1085
AMOTL1,957
AMOTL2,838
AMPD1,781
AMPD2,880
AMPD3,777
AMPH,696
AMT,483
AMTN,210
AMY1A,512
AMY1B,512
AMY1C,512
AMY2A,512
AMY2B,512
AMZ1,499
AMZ2,361
ANAPC1,1945
ANAPC10,186
ANAPC11,197
ANAPC13,75
ANAPC15,191
ANAPC16,111
ANAPC2,823
ANAPC4,810
ANAPC5,756
ANAPC7,600
ANG,148
ANGEL1,671
ANGEL2,545
ANGPT1,499
ANGPT2,497
ANGPT4,504
ANGPTL1,492
ANGPTL2,494
ANGPTL3,461
ANGPTL4,407
ANGPTL5,389
ANGPTL6,471
ANGPTL7,347
ANGPTL8,199
ANHX,380
ANK1,1898
ANK2,3958
ANK3,4378
ANKAR,1435
ANKDD1A,523
ANKDD1B,529
ANKEF1,777
ANKFN1,1150
ANKFY1,1212
ANKH,493
ANKHD1,2543
ANKHD1-EIF4EBP3,2618
ANKIB1,1090
ANKK1,766
ANKLE1,670
ANKLE2,939
ANKMY1,1031
ANKMY2,442
ANKRA2,314
ANKRD1,320
ANKRD10,421
ANKRD11,2664
ANKRD12,2063
ANKRD13A,591
ANKRD13B,627
ANKRD13C,542
ANKRD13D,606
ANKRD16,362
ANKRD17,2604
ANKRD18A,993
ANKRD18B,1012
ANKRD2,361
ANKRD20A1,824
ANKRD20A2,824
ANKRD20A3,824
ANKRD20A4,824
ANKRD22,192
ANKRD23,306
ANKRD24,1237
ANKRD26,1727
ANKRD27,1051
ANKRD28,1054
ANKRD29,302
ANKRD30A,1461
ANKRD30B,1393
ANKRD30BL,259
ANKRD31,1931
ANKRD33,453
ANKRD33B,495
ANKRD34A,497
ANKRD34B,515
ANKRD34C,536
ANKRD35,1002
ANKRD36,1942
ANKRD36B,1354
ANKRD36C,1779
ANKRD37,159
ANKRD39,184
ANKRD40,369
ANKRD40CL,143
ANKRD42,528
ANKRD44,1057
ANKRD45,267
ANKRD46,233
ANKRD49,240
ANKRD50,1430
ANKRD52,1077
ANKRD53,531
ANKRD54,301
ANKRD55,615
ANKRD6,728
ANKRD60,346
ANKRD61,419
ANKRD62,918
ANKRD63,381
ANKRD65,400
ANKRD66,252
ANKRD7,264
ANKRD9,318
ANKS1A,1195
ANKS1B,1249
ANKS3,657
ANKS4B,418
ANKS6,872
ANKUB1,545
ANKZF1,727
ANLN,1125
ANO1,987
ANO10,661
ANO2,1004
ANO3,982
ANO4,1122
ANO5,914
ANO6,932
ANO7,934
ANO8,1233
ANO9,783
ANOS1,681
ANP32A,250
ANP32B,252
ANP32D,132
ANP32E,269
ANPEP,968
ANTXR1,565
ANTXR2,490
ANTXRL,632
ANXA1,347
ANXA10,325
ANXA11,506
ANXA13,358
ANXA2,358
ANXA2R,194
ANXA3,324
ANXA4,322
ANXA5,321
ANXA6,674
ANXA7,489
ANXA8,366
ANXA8L1,366
ANXA9,346
AOAH,689
AOC1,771
AOC2,757
AOC3,764
AOX1,1339
AP000275.2,222
AP000311.1,147
AP000350.4,210
AP000646.1,477
AP000721.1,165
AP000781.2,470
AP000812.5,157
AP001267.5,1371
AP001273.2,839
AP001458.2,100
AP001781.2,233
AP002495.1,207
AP002512.3,416
AP002748.4,631
AP003071.5,52
AP003108.2,163
AP1AR,303
AP1B1,950
AP1G1,826
AP1G2,786
AP1M1,436
AP1M2,426
AP1S1,159
AP1S2,161
AP1S3,165
AP2A1,978
AP2A2,941
AP2B1,952
AP2M1,461
AP2S1,159
AP3B1,1095
AP3B2,1126
AP3D1,1216
AP3M1,419
AP3M2,419
AP3S1,194
AP3S2,395
AP4B1,740
AP4E1,1138
AP4M1,461
AP4S1,160
AP5B1,879
AP5M1,505
AP5S1,201
AP5Z1,808
APAF1,1249
APBA1,838
APBA2,750
APBA3,576
APBB1,711
APBB1IP,667
APBB2,760
APBB3,494
APC,2844
APC2,2304
APCDD1,515
APCDD1L,502
APCS,224
APEH,738
APELA,55
APEX1,319
APEX2,519
APH1A,266
APH1B,258
API5,525
APIP,243
APLF,512
APLN,78
APLNR,381
APLP1,652
APLP2,764
APMAP,417
APOA1,268
APOA2,134
APOA4,397
APOA5,367
APOB,4564
APOBEC1,237
APOBEC2,225
APOBEC3A,383
APOBEC3B,491
APOBEC3C,191
APOBEC3F,374
APOBEC3G,385
APOBEC3H,201
APOBEC4,368
APOBR,1098
APOC1,130
APOC2,73
APOC3,118
APOC4,128
APOC4-APOC2,179
APOD,215
APOE,318
APOF,327
APOH,346
APOL1,415
APOL2,450
APOL3,403
APOL4,352
APOL5,434
APOL6,344
APOLD1,280
APOM,189
APOO,199
APOOL,269
APOPT1,207
APP,771
APPBP2,586
APPL1,710
APPL2,671
APRT,181
APTX,357
AQP1,270
AQP10,302
AQP11,272
AQP12A,308
AQP12B,308
AQP2,272
AQP3,293
AQP4,324
AQP5,266
AQP6,283
AQP7,343
AQP8,262
AQP9,296
AQR,1486
AR,921
ARAF,610
ARAP1,1451
ARAP2,1705
ARAP3,1545
ARC,397
ARCN1,553
AREG,275
AREL1,824
ARF1,182
ARF3,182
ARF4,181
ARF5,181
ARF6,176
ARFGAP1,415
ARFGAP2,522
ARFGAP3,517
ARFGEF1,1850
ARFGEF2,1786
ARFGEF3,2178
ARFIP1,374
ARFIP2,375
ARFRP1,202
ARG1,331
ARG2,355
ARGFX,316
ARGLU1,274
ARHGAP1,440
ARHGAP10,787
ARHGAP11A,1024
ARHGAP11B,268
ARHGAP12,847
ARHGAP15,476
ARHGAP17,882
ARHGAP18,664
ARHGAP19,495
ARHGAP20,1192
ARHGAP21,1959
ARHGAP22,715
ARHGAP23,1492
ARHGAP24,749
ARHGAP25,647
ARHGAP26,815
ARHGAP27,890
ARHGAP28,730
ARHGAP29,1262
ARHGAP30,1102
ARHGAP31,1445
ARHGAP32,2088
ARHGAP33,1127
ARHGAP35,1500
ARHGAP36,548
ARHGAP39,1115
ARHGAP4,987
ARHGAP40,623
ARHGAP42,875
ARHGAP44,819
ARHGAP45,1164
ARHGAP5,1503
ARHGAP6,975
ARHGAP8,306
ARHGAP9,822
ARHGDIA,249
ARHGDIB,202
ARHGDIG,226
ARHGEF1,969
ARHGEF10,1370
ARHGEF10L,1280
ARHGEF11,1563
ARHGEF12,1545
ARHGEF15,842
ARHGEF16,710
ARHGEF17,2064
ARHGEF18,1174
ARHGEF19,803
ARHGEF2,1032
ARHGEF25,620
ARHGEF26,872
ARHGEF28,1732
ARHGEF3,559
ARHGEF33,871
ARHGEF35,485
ARHGEF37,676
ARHGEF38,778
ARHGEF39,336
ARHGEF4,1817
ARHGEF40,1520
ARHGEF5,1598
ARHGEF6,777
ARHGEF7,863
ARHGEF9,565
ARID1A,2286
ARID1B,2333
ARID2,1836
ARID3A,594
ARID3B,562
ARID3C,413
ARID4A,1258
ARID4B,1313
ARID5A,595
ARID5B,1189
ARIH1,558
ARIH2,494
ARIH2OS,291
ARL1,195
ARL10,245
ARL11,197
ARL13A,257
ARL13B,429
ARL14,193
ARL14EP,261
ARL14EPL,153
ARL15,205
ARL16,198
ARL17A,178
ARL17B,182
ARL2,185
ARL2BP,164
ARL3,183
ARL4A,201
ARL4C,202
ARL4D,202
ARL5A,180
ARL5B,180
ARL5C,180
ARL6,187
ARL6IP1,204
ARL6IP4,422
ARL6IP5,189
ARL6IP6,227
ARL8A,187
ARL8B,187
ARL9,266
ARMC1,283
ARMC10,344
ARMC12,368
ARMC2,868
ARMC3,873
ARMC4,1045
ARMC5,1031
ARMC6,502
ARMC7,199
ARMC8,674
ARMC9,819
ARMCX1,454
ARMCX2,633
ARMCX3,380
ARMCX4,2291
ARMCX5,559
ARMCX6,301
ARMH1,441
ARMH2,231
ARMH3,690
ARMH4,775
ARMS2,108
ARMT1,442
ARNT,790
ARNT2,718
ARNTL,627
ARNTL2,637
ARPC1A,371
ARPC1B,373
ARPC2,301
ARPC3,179
ARPC4,188
ARPC4-TTLL3,661
ARPC5,155
ARPC5L,154
ARPIN,227
ARPP19,132
ARPP21,814
ARR3,389
ARRB1,419
ARRB2,431
ARRDC1,434
ARRDC2,408
ARRDC3,415
ARRDC4,419
ARRDC5,343
ARSA,510
ARSB,534
ARSD,594
ARSE,615
ARSF,591
ARSG,526
ARSH,563
ARSI,570
ARSJ,600
ARSK,537
ART1,328
ART3,390
ART4,315
ART5,292
ARTN,238
ARV1,272
ARVCF,963
ARX,563
AS3MT,376
ASAH1,412
ASAH2,781
ASAH2B,166
ASAP1,1130
ASAP2,1007
ASAP3,904
ASB1,336
ASB10,468
ASB11,324
ASB12,319
ASB13,279
ASB14,588
ASB15,589
ASB16,454
ASB17,296
ASB18,467
ASB2,636
ASB3,557
ASB4,427
ASB5,330
ASB6,422
ASB7,319
ASB8,289
ASB9,295
ASCC1,401
ASCC2,758
ASCC3,2203
ASCL1,237
ASCL2,194
ASCL3,182
ASCL4,174
ASCL5,207
ASF1A,205
ASF1B,203
ASGR1,292
ASGR2,312
ASH1L,2970
ASH2L,629
ASIC1,575
ASIC2,564
ASIC3,550
ASIC4,667
ASIC5,506
ASIP,133
ASL,465
ASMT,374
ASMTL,622
ASNA1,349
ASNS,562
ASNSD1,644
ASPA,314
ASPDH,284
ASPG,574
ASPH,759
ASPHD1,391
ASPHD2,370
ASPM,3478
ASPN,381
ASPRV1,344
ASPSCR1,648
ASRGL1,309
ASS1,413
ASTE1,705
ASTL,432
ASTN1,1295
ASTN2,1340
ASXL1,1542
ASXL2,1436
ASXL3,2249
ASZ1,476
ATAD1,362
ATAD2,1391
ATAD2B,1459
ATAD3A,635
ATAD3B,649
ATAD3C,412
ATAD5,1845
ATAT1,422
ATCAY,378
ATE1,519
ATF1,272
ATF2,506
ATF3,182
ATF4,352
ATF5,283
ATF6,671
ATF6B,704
ATF7,495
ATF7IP,1279
ATF7IP2,683
ATG10,221
ATG101,219
ATG12,141
ATG13,551
ATG14,493
ATG16L1,625
ATG16L2,620
ATG2A,1939
ATG2B,2079
ATG3,315
ATG4A,399
ATG4B,394
ATG4C,459
ATG4D,475
ATG5,276
ATG7,704
ATG9A,840
ATG9B,925
ATIC,593
ATL1,559
ATL2,584
ATL3,542
ATM,3057
ATMIN,824
ATN1,1191
ATOH1,355
ATOH7,153
ATOH8,322
ATOX1,74
ATP10A,1500
ATP10B,1462
ATP10D,1427
ATP11A,1192
ATP11B,1178
ATP11C,1133
ATP12A,1046
ATP13A1,1205
ATP13A2,1181
ATP13A3,1230
ATP13A4,1197
ATP13A5,1219
ATP1A1,1024
ATP1A2,1021
ATP1A3,1027
ATP1A4,1030
ATP1B1,304
ATP1B2,291
ATP1B3,280
ATP1B4,358
ATP23,247
ATP2A1,1002
ATP2A2,1043
ATP2A3,1053
ATP2B1,1221
ATP2B2,1244
ATP2B3,1221
ATP2B4,1206
ATP2C1,974
ATP2C2,976
ATP4A,1036
ATP4B,292
ATP5F1A,554
ATP5F1B,530
ATP5F1C,299
ATP5F1D,169
ATP5F1E,52
ATP5IF1,107
ATP5MC1,137
ATP5MC2,199
ATP5MC3,143
ATP5MD,59
ATP5ME,70
ATP5MF,99
ATP5MF-PTCD1,51
ATP5MG,104
ATP5MGL,101
ATP5MPL,100
ATP5PB,257
ATP5PD,162
ATP5PF,120
ATP5PO,214
ATP5S,267
ATP6AP1,471
ATP6AP1L,225
ATP6AP2,351
ATP6V0A1,839
ATP6V0A2,857
ATP6V0A4,841
ATP6V0B,262
ATP6V0C,156
ATP6V0D1,393
ATP6V0D2,351
ATP6V0E1,82
ATP6V0E2,214
ATP6V1A,618
ATP6V1B1,514
ATP6V1B2,512
ATP6V1C1,383
ATP6V1C2,438
ATP6V1D,248
ATP6V1E1,227
ATP6V1E2,227
ATP6V1F,148
ATP6V1FNB,177
ATP6V1G1,119
ATP6V1G2,159
ATP6V1G3,125
ATP6V1H,484
ATP7A,1501
ATP7B,1466
ATP8A1,1165
ATP8A2,1189
ATP8B1,1252
ATP8B2,1224
ATP8B3,1301
ATP8B4,1193
ATP9A,1048
ATP9B,1148
ATPAF1,352
ATPAF2,290
ATR,2645
ATRAID,285
ATRIP,792
ATRN,1430
ATRNL1,1380
ATRX,2493
ATXN1,816
ATXN10,476
ATXN1L,690
ATXN2,1314
ATXN2L,1098
ATXN3,371
ATXN3L,356
ATXN7,946
ATXN7L1,862
ATXN7L2,723
ATXN7L3,355
ATXN7L3B,98
AUH,340
AUNIP,372
AUP1,411
AURKA,404
AURKAIP1,200
AURKB,346
AURKC,310
AUTS2,1260
AVEN,363
AVIL,820
AVL9,649
AVP,165
AVPI1,148
AVPR1A,419
AVPR1B,425
AVPR2,372
AWAT1,329
AWAT2,334
AXDND1,1013
AXIN1,863
AXIN2,844
AXL,895
AZGP1,299
AZI2,393
AZIN1,449
AZIN2,481
AZU1,252
B2M,120
B3GALNT1,332
B3GALNT2,501
B3GALT1,327
B3GALT2,423
B3GALT4,379
B3GALT5,315
B3GALT6,330
B3GAT1,335
B3GAT2,324
B3GAT3,336
