gene	gene_length
IER5	1
AL139011.2	14
ATP8B2	28
KIAA0040	3
GSTM5	8
LRRC40	15
SERPINC1	7
OR10X1	1
CENPL	7
DISC1	13
KDF1	4
AL358472.7	3
ETV3	5
CTSS	8
PEAR1	24
PLA2G2D	4
MTF1	11
S100A3	3
GUK1	7
PLA2G2E	4
LCE1E	2
RIIAD1	13
OTUD7B	12
HIST2H2AB	3
CGN	21
WDR47	15
SH3BGRL3	3
NBPF9	29
PALMD	8
SSR2	6
PLCH2	22
KDM4A	22
KCTD3	18
TATDN3	10
TIE1	23
PRKCZ	18
COL24A1	60
PLK3	15
NFIA	12
C1orf210	3
LDLRAP1	9
TTC4	10
OR1C1	2
OR6F1	3
SCCPDH	12
KCNN3	9
SLAMF7	7
OR10Z1	2
DEPDC1	12
TNFSF4	3
EXOC8	1
CRTC2	14
KIFAP3	20
INTS3	30
DBT	11
LRRC39	11
S100A1	3
LELP1	2
TSACC	14
DNAJC16	15
ARID1A	20
CRCT1	2
LCE3E	2
LCE3D	2
LCE3C	1
LCE3B	1
TMCO4	16
LCE3A	1
LCE2D	2
LCE2C	2
ILDR2	10
THEM5	6
ALDH9A1	11
PBX1	9
CCDC190	4
PLEKHO1	6
PDE4DIP	44
AKR7A3	7
HS2ST1	7
UROD	10
CLCA2	14
AL590132.1	11
STK40	11
MFSD2A	14
CYR61	5
WDR63	13
FGGY	17
SYNC	12
RPS8	6
CR2	20
CR1	47
AGO4	18
DMRTA2	3
SYDE2	7
C1orf52	3
FAF1	19
MYCL	3
HOOK1	22
CR1L	12
CD46	13
BCL10	3
AGO1	19
DDAH1	6
CDKN2C	4
ARHGAP29	23
NOC2L	19
CYP2J2	9
C1orf185	5
RNF11	3
SAMD11	14
ABCD3	23
CFAP126	6
TAF13	4
PYCR2	7
TMEM63A	25
FCGR1A	6
C1orf159	12
CAPZB	9
SRP9	3
ZFP69B	6
GIPC2	3
OR2T27	3
OR2W3	1
OR2B11	2
CKS1B	3
AHDC1	7
RNASEL	7
RGS7	18
GPR3	2
MAP3K6	30
MTR	33
PIGM	1
ZRANB2	10
SEMA6C	20
MMACHC	4
NOS1AP	10
SPATA46	3
FCRLA	6
TUFT1	13
FCGR3A	5
UBXN11	16
CDCA8	10
CNIH3	14
NR1I3	10
PSMB4	7
TESK2	11
SMAP2	10
SELENBP1	12
DEGS1	3
AL449266.1	6
APOA2	4
FCER1G	5
TP53BP2	18
FRRS1	17
AKNAD1	16
AC118549.1	15
HCN3	8
FAM189B	12
TPR	51
CATSPERE	22
SMG7	23
UBE2J2	8
WDR64	27
FCN3	8
GREM2	2
STX6	8
LGALS8	14
SOAT1	16
SEC16B	26
RBM34	11
PYHIN1	9
NUP210L	40
POU3F1	1
SPRTN	1
FHL3	6
PIGC	21
TTC13	23
CAPN9	20
CDA	4
MUL1	4
FMO4	10
GPR61	2
PRCC	6
PLA2G5	5
DCAF6	5
MPZL1	6
RCSD1	7
SPRR2B	1
SPRR1A	1
POU2F1	16
S100A10	3
PSRC1	8
ZNF678	4
JMJD4	6
CIART	5
SNAP47	6
FAM78B	3
C1orf167	21
PRSS38	5
WNT9A	4
CCT3	14
WNT3A	4
MTHFR	21
POGK	5
MYBPHL	9
TCEANC2	5
ELK4	10
GABRD	9
FNBP1L	17
NHLH2	1
LDLRAD1	6
ZBTB8B	10
CMPK1	6
FAM229A	2
TMEM50A	7
GLIS1	10
SYT6	8
CCDC30	16
GUCA2B	3
PTPN7	10
SCMH1	15
ECHDC2	10
COA7	3
ST7L	15
NBPF20	138
CTTNBP2NL	6
C1orf174	4
INKA2	8
WDR77	10
TGFB2	8
AC093155.3	7
ZNF593	3
RER1	7
EPS15	25
GPR89B	14
MECR	10
CLCA1	15
AMY1C	10
DTL	15
MROH7	24
ELAVL4	7
CLSPN	25
SLC41A1	11
CD101	10
TTF2	23
RUSC1	10
CLK2	13
OR14A16	3
SMYD3	12
USF1	11
PBXIP1	11
SHCBP1L	10
TEDDM1	1
LRRC41	18
OPN3	4
SLC25A34	5
TMEM82	6
MR1	7
C1QTNF12	8
SHE	6
TMOD4	10
EDARADD	6
NID1	20
TBCE	4
NTPCR	5
SLC25A33	7
GSTM1	8
GPATCH3	7
RAB13	8
GNAT2	8
COG2	18
SPSB1	3
RAB4A	8
NTRK1	9
IBA57	3
SH2D2A	9
TIPRL	7
S100A13	4
S100A2	3
S100A7L2	3
NASP	15
TMCO1	7
THEM4	6
C2CD4D	2
PUSL1	8
NPL	11
RGS8	6
PLD5	10
NCSTN	17
KIAA1614	9
IGSF8	7
CFAP45	12
FCER1A	6
PCNX2	34
NDUFS5	3
OR10K2	2
FCRL4	12
GNAI3	9
GPR88	2
MYOCOS	3
MYOC	3
THBS3	23
PGM1	11
OR2T2	4
OR14C36	1
OR2T33	2
OR2M5	1
ZNF669	4
CNST	11
HNRNPU	5
RGS16	5
MAP1LC3C	4
BECN2	1
RGSL1	22
EXO1	16
KMO	15
ADAR	15
DCAF8	14
NEGR1	7
AMY2A	11
LURAP1	2
VPS72	10
TNFAIP8L2	2
PIK3CD	24
MLLT11	2
HHLA3	3
LRRC7	25
TSNAX	6
TPM3	10
FCRL2	12
SPHAR	8
C1orf112	9
INSRR	22
PLA2G2A	5
SH2D1B	4
LIN9	15
SDE2	7
SDHC	6
LMNA	12
SUCO	23
IPP	9
NUP133	26
FMO2	9
SELE	14
F5	25
CRABP2	5
S100A16	3
S100A12	3
S100A9	3
HTR6	3
CELF3	13
AL512785.2	3
SNX27	12
PARP1	23
SEMA4A	15
FCGR2B	8
HMGN2	6
AIDA	10
SNIP1	4
ZC3H12A	6
GPATCH2	10
PPIAL4G	1
KANK4	10
CNN3	7
VAV3	27
TMEM56-RWDD3	7
RWDD3	8
CENPF	20
TMEM56	7
KCNK2	7
NBPF14	71
CSF3R	17
PIGK	11
ITGB3BP	10
ST6GALNAC5	5
CTNNBIP1	6
OR2L8	1
OR11L1	1
DCST1	17
C1orf100	5
LAMC2	23
TNNI3K	25
TOR1AIP2	6
AMY1A	11
POMGNT1	23
FAM20B	8
DUSP23	2
DPH5	8
CERS2	11
CD1B	6
C1orf131	7
ZDHHC18	8
CCSAP	4
HIST3H3	1
TRIM11	6
AMIGO1	2
SRSF10	6
SEC22B	5
ZBTB40	19
JAK1	25
LDLRAD2	5
ERRFI1	4
AADACL3	4
KCNJ9	3
CTH	12
AIM2	6
TOMM20	5
COP1	20
COA6	3
TNR	23
TNN	19
PGLYRP3	7
LOR	2
SPRR2E	2
C1orf122	5
SPRR2D	2
SPRR3	3
SMCP	2
LCE6A	2
LCE1A	1
RNF186	1
KPRP	1
RPRD2	11
LCE4A	2
RHBG	10
SORT1	20
AGMAT	7
PRPF3	16
CLCN6	23
CAPN8	21
PQLC2	8
CELA2B	8
EFHD2	4
SLC30A2	8
TMEM206	9
INTS7	20
KCNH1	11
HHAT	11
MTFR1L	7
SH3D21	3
BEST4	9
C1orf87	12
COL16A1	71
THRAP3	12
AGO3	19
KIAA1522	7
FAM151A	8
ACOT11	17
ZNHIT6	10
SLAMF6	8
ACTN2	21
ARTN	5
NPHS2	8
ERO1B	16
GPR137B	7
KCNJ10	1
SLAMF9	4
HP1BP3	13
PTGER3	4
IGSF9	21
GABPB2	9
CDC42SE1	2
SLAMF8	5
VSIG8	7
TTLL10	16
ZNF683	7
SELENOF	5
AZIN2	9
CA6	8
HES4	3
RPS6KC1	15
LSM10	2
SERTAD4	4
COL8A2	4
C1orf74	2
CD55	10
CFAP57	24
YOD1	2
DYRK3	3
RAB29	6
TMEM53	15
TMCC2	5
DNASE2B	6
RPL5	8
ADORA1	3
DAB1	15
GUCA2A	3
UBE2T	7
HIPK1	16
DNAJB4	3
NEXN	13
LZIC	8
OR2T29	2
DMAP1	10
ZNF496	9
PDC	4
MEX3A	2
UBQLN4	11
PANK4	19
ADAMTS4	9
ZNF672	4
NDUFS2	9
LYPD8	7
DHDDS	9
CATSPER4	10
GON4L	32
HENMT1	8
ESRRG	8
SZT2	71
CRYBG2	22
OSBPL9	24
ALG14	4
MORN1	14
PROX1	5
EXTL1	11
FBXO6	6
TMEM51	3
MRTO4	8
ENO1	12
ASH1L	28
MIGA1	16
FDPS	11
ALG6	15
ACADM	13
OR2M7	1
CLCNKA	20
ZNF670-ZNF695	4
HSPB7	3
ZNF670	4
NIT1	4
PLA2G4A	18
B4GALT2	7
LY9	10
NCF2	15
SCNN1D	18
SLAMF1	8
RAD54L	18
CHRNB2	6
B3GALT6	1
XPR1	15
IPO13	20
AQP10	6
CASQ1	11
HEATR1	45
ARID4B	11
TOR3A	6
TEX35	9
RASAL2	18
MAP3K21	10
OR6K6	1
ACTRT2	1
ATG4C	11
OR2T3	1
ADAM15	17
ZBTB17	16
LAMC1	28
ZNF648	2
FMN2	18
UBAP2L	7
RALGPS2	20
SH2D5	10
B3GALNT2	12
RRAGC	7
SLC9A1	12
SLC9C2	28
CD1C	6
JTB	5
C1orf105	7
PIGV	4
ARNT	22
AGT	5
FCRL5	17
PRRC2C	34
CAMK2N1	2
URB2	10
ABCB10	13
GATAD2B	11
ACTA1	7
ARHGEF11	41
DENND4B	28
FMO3	9
HIST3H2BB	1
SLC19A2	6
MPC2	5
H3F3A	3
TMEM167B	3
LBR	14
WDR26	14
GPR153	6
PMF1	5
HMGB4	4
SF3B4	6
MIXL1	2
ACBD3	8
BOLA1	3
HIST2H3D	1
NBL1	4
ZFP69	6
PGBD2	3
HHIPL2	9
BPNT1	10
PSMD4	10
USP1	9
FLVCR1	10
CAP1	13
CDC20	10
HCRTR1	8
PFKFB2	2
ABCA4	50
HAO2	9
HSD3B2	4
MACO1	11
YTHDF2	5
OPRD1	3
NECTIN4	9
IVNS1ABP	15
CHML	4
CACNA1E	48
ZP4	13
RYR2	105
LHX4	6
TNFRSF4	7
SCNM1	2
TNFRSF18	4
ABL2	12
AMY2B	12
C1orf189	4
SYTL1	14
PAPPA2	23
ANXA9	14
COL11A1	67
MINDY1	11
ASTN1	23
TMEM222	6
AKIRIN1	5
OR6K3	2
OR6P1	3
OR6Y1	2
SLC39A1	3
FCRL1	11
DNM3	21
C1orf198	4
METTL11B	4
TRIM17	6
ENSA	5
VWA5B1	22
PGLYRP4	9
GPA33	7
HSD17B7	9
EXO5	2
PMF1-BGLAP	5
MFSD14A	12
STUM	4
MINOS1	9
AL117348.2	4
PCP4L1	3
AGRN	36
SLC25A24	10
SCAMP3	9
GBA	12
EFCAB7	14
OR2T11	2
OR2AK2	1
SLC44A5	24
PRG4	13
ADSS	13
CEP170	20
CHRM3	5
SDF4	7
PEX19	8
HAX1	7
PIK3R3	10
BRINP2	8
KCNK1	3
GSTM2	8
RHBDL2	8
AL358472.6	5
AL139142.2	28
EGLN1	5
DDOST	11
RHOU	3
GORAB	5
CDC14A	15
H6PD	5
UBXN10	2
RRNAD1	8
ECM1	10
S100A7A	3
C1orf68	1
HRNR	3
TCHHL1	3
MGST3	6
RABGAP1L	21
ANKRD45	6
TMEM69	3
ATXN7L2	11
RTCA	12
GJC2	2
SELP	17
SERBP1	8
ILF2	14
NES	4
CREG1	4
C1orf61	7
LCE1F	1
TCHH	3
SMG5	22
ANP32E	7
PRDX1	6
FCRLB	8
DRAXIN	7
SV2A	13
HSPA6	1
MPZ	6
C1orf109	5
CAPN2	21
CTRC	8
STXBP3	19
HLX	4
USH2A	72
MRPS15	8
PDPN	6
PRKAB2	8
ODF2L	18
PTPRF	34
AC092017.3	7
RCOR3	12
FMO5	9
PTCH2	22
RNF19B	9
CHD1L	23
EIF2B3	12
PATJ	43
AK2	6
TRAF5	11
RD3	3
SLC30A1	2
OSCP1	11
NEK2	8
LPGAT1	8
ADPRHL2	6
NBPF12	36
CAMK1G	13
TMEM54	6
LAMB3	22
HPCA	4
AUNIP	7
TEKT2	10
SELENON	13
AL020996.2	4
G0S2	2
HSD11B1	7
TMEM200B	2
TRAF3IP3	17
IL19	6
MAN1A2	13
SPATA6	13
SVBP	3
SYCP1	32
FBXO44	6
VPS45	15
PPIAL4C	1
POGZ	19
MAD2L2	11
ADGRB2	33
COL9A2	32
DUSP10	4
MARK1	18
PDIK1L	4
HYI	71
BCL9	10
TTC39A	18
S100PBP	13
SLC2A1	10
TINAGL1	12
IL10	5
EIF2D	6
MFSD4A	10
CTSE	9
MRPL37	6
AL357673.1	4
TACSTD2	1
FABP3	4
RHEX	6
SSBP3	18
AVPR1B	2
TRIM45	6
MYSM1	20
JUN	1
CYB5RL	6
FAM72A	4
CDCP2	4
TAF12	2
ARMH1	13
IKBKE	22
BEND5	6
RAB42	2
AGBL4	14
VTCN1	6
KCNAB2	16
ATP1A1	23
TRAPPC3	5
GNG5	3
NKAIN1	7
MAP7D1	17
BCAN	14
HAPLN2	7
ADCY10	33
SPRR2G	2
LCE1B	1
PSMA5	9
RGS4	6
LEFTY2	4
ENAH	15
CD52	2
AGL	34
SPOCD1	16
CCDC185	1
AL451062.3	22
MIA3	28
PRDM2	10
PPT1	9
OR6N1	1
MAP10	1
UTP11	8
ARV1	6
SF3A3	17
FAM43B	1
CTSK	8
HORMAD1	15
SELL	9
PLA2G2C	3
S100A5	4
CD247	8
TARS2	18
PRR9	2
SPRR2F	2
OTUD3	8
MANEAL	4
MRPS21	2
C1orf35	8
AKR1A1	10
AGTRAP	5
UHMK1	8
OLFML2B	8
PSEN2	13
C1orf194	5
AL031847.2	42
ZNF362	9
DNALI1	6
GNL2	16
CHD5	42
MARC1	7
FNDC7	13
PRPF38B	6
PLPPR5	6
TRIM63	9
SH3GLB1	10
CDK18	16
C1orf216	2
KLHDC8A	9
PSMB2	6
TSHB	3
CNTN2	23
CTBS	7
MDM4	11
AMPD1	16
CYB5R1	9
C1orf123	8
RCAN3	5
ZYG11B	14
DDX20	11
RAP1A	8
C1orf162	6
IFI44	9
CHIA	12
SLC35D1	12
IL22RA1	7
ITPKB	8
CSMD2	71
FCGR3B	5
EPHX1	9
CNIH4	5
TOMM40L	10
LAMTOR2	4
HES5	3
FBXO28	5
RXFP4	1
BROX	13
RFX5	11
MARC2	8
TRIM62	5
RRP15	5
AL391650.1	3
FAM110D	2
AMY1B	11
UTP25	12
ZCCHC17	7
AC098484.3	5
SLC5A9	15
TMED5	4
HSPB11	6
OR4F5	1
CCDC18	4
LRRN2	1
SIKE1	5
DR1	3
NFASC	30
YBX1	8
SAMD13	4
CLDN19	5
BSDC1	10
PLEKHA6	23
SNRPE	5
MACF1	93
CAPZA1	10
F13B	12
TXNDC12	7
LMO4	5
UTS2	5
CCNL2	11
AURKAIP1	3
CAMTA1	23
VPS13D	70
ATP13A2	29
PLOD1	19
CD58	6
RNF220	15
NGF	3
PIK3C2B	34
PPFIA4	35
UBIAD1	2
KIAA0319L	21
RPAP2	13
PITHD1	6
NAV1	30
PEX11B	4
ZNF281	2
IFI44L	9
GLRX2	4
FAM183A	4
SLC22A15	12
NUAK2	7
HEYL	5
CYP4A22	12
PLPP3	6
PPP1R12B	25
AJAP1	6
ELF3	8
CYP4A11	12
DENND1B	23
ADORA3	2
TCEA3	11
ATP5PB	7
STPG1	9
IL12RB2	16
IFNLR1	7
MKNK1	8
PNRC2	4
CHI3L2	13
FUCA1	8
DENND2D	12
MMP23B	8
UBR4	106
GTF2B	7
GJB5	2
UBL4B	1
PHACTR4	13
NTNG1	8
SPATA45	3
PRMT6	1
PERM1	3
EPB41	21
EVA1B	3
MAPKAPK2	10
GMEB1	10
TRIT1	11
CD2	5
VANGL1	8
TFAP2E	7
BCAS2	7
NDC1	18
PDZK1IP1	4
C8A	11
ADIPOR1	8
RABIF	2
FYB2	20
NADK	14
CYP4X1	12
ID3	3
FAM19A3	5
TNNT2	16
LAD1	10
AL603832.3	10
RBM8A	4
PPM1J	10
SCP2	16
TGFBR3	17
TXNIP	8
IGFN1	24
AC239799.1	90
NOTCH2NLA	21
NBPF10	90
PKP1	15
PARS2	2
TTC22	7
SLC35E2A	6
EPHX4	7
PTPN22	21
SLFNL1	4
LIX1L	6
KIF14	30
LHX9	5
MOB3C	4
RGS1	5
KCNA2	3
KCNA10	1
EPHA8	17
RSPO1	7
NVL	23
ZNF692	12
TLR5	6
DISP1	8
CELA2A	8
RPL22	4
AKR7A2	7
PLPPR4	7
PTBP2	14
PPP2R5A	13
SRSF4	6
KLHL17	12
CD34	8
C1orf116	4
RBBP5	14
LRRC42	9
RPF1	9
SPATA1	7
FOXE3	1
CHI3L1	10
C1orf146	6
BMP8A	7
LGR6	18
TMEM61	3
RUNX3	6
MAGI3	21
NCMAP	4
ZYG11A	14
CFHR4	10
GRHL3	16
EXOSC10	25
BARHL2	3
HMGCS2	10
RBM15	3
SMIM12	2
CELA3B	8
PRAMEF4	4
WRAP73	12
PHF13	4
KLHL21	4
RAP1GAP	23
TTC34	7
SSX2IP	14
SLC26A9	22
PPP1R15B	2
KISS1	3
ERI3	9
MARCKSL1	2
LAX1	5
GPR37L1	2
PODN	11
ANGPTL7	5
CD160	4
PTPRC	33
ASPM	28
DFFB	7
RGS13	6
HFM1	39
PPIAL4A	1
NFYC	10
MIER1	14
ARHGEF2	22
MUTYH	16
FAM177B	4
SYT11	4
RNF207	18
TAF1A	12
EPRS	32
PTPN14	19
SMYD2	12
EMC1	23
HECTD3	21
SYT14	10
IRF6	9
MPL	12
WARS2	6
FCAMR	8
BCAR3	14
MATN1	8
NEK7	10
ZBTB41	10
FAM72C	4
PIFO	6
CDC7	12
FAAH	15
GBP6	11
AC114490.3	3
ALDH4A1	15
HSPG2	97
PRAMEF14	4
IARS2	23
STMN1	5
MAN1C1	12
PEF1	5
SLC44A3	15
C4BPA	12
SPAG17	27
ZNF691	4
PPIE	11
DENND2C	21
NCDN	7
RHCE	10
P3H1	14
TRABD2B	7
FBXO2	6
CSDE1	21
ZMYND12	8
FOXJ3	15
SYT2	9
SLC16A1	5
HJV	4
ASAP3	25
PIAS3	14
EFCAB14	11
GPR89A	14
SLC35E2B	10
KCND3	8
NIPAL3	12
CDC73	17
TROVE2	9
RIMS3	8
CD53	9
HSD3B1	4
LRIF1	4
ZNF697	3
LRRC8C	3
AC093423.3	3
LRRC8D	3
DCDC2B	9
EIF3I	5
LRRC8B	9
ZMYM1	13
PHGDH	15
TMEM234	9
CEPT1	9
SGIP1	25
HMGCL	9
DRAM2	9
CEP104	22
ZNF326	12
TEX46	3
KYAT3	14
RAVER2	12
LRRC38	2
TMEM240	4
ARHGEF10L	29
RBBP4	12
TMEM125	4
IL20	6
WDR3	27
PM20D1	13
DSTYK	13
TMEM81	1
FOXD2	1
GOLT1A	5
REN	10
SOX13	14
MTF2	15
ZC3H11A	18
FAM69A	8
STIL	17
ADGRL2	24
TMEM9	6
ASCL5	2
ATP6V1G3	4
GPX7	3
CFHR5	10
YARS	13
F3	6
EBNA1BP2	10
C4BPB	6
MCOLN2	14
PIGR	11
GCLM	7
TENT5C	2
PTGFRN	9
MAB21L3	7
CFAP74	38
FMOD	3
C8B	12
TRIM33	20
OLFML3	3
PPCS	3
SYF2	7
AL049557.1	2
BTF3L4	6
TCTEX1D1	5
RCC1	14
SSU72	5
PRAMEF8	4
FAM76A	10
KAZN	17
GJA8	1
ACP6	10
CLCA4	14
SKI	7
FNDC5	6
MROH7-TTC4	24
KIF2C	21
GDAP2	14
SERINC2	11
IGSF3	12
NPHP4	30
LEMD1	6
SNRNP40	10
CASQ2	11
OPTC	8
MYOG	3
TAL1	4
BCL2L15	4
MAGOH	5
SDC3	5
SLC1A7	11
CAMSAP2	18
GPR25	1
PDZK1	9
INAVA	10
KIF21B	35
MOV10	21
CYP4B1	12
PTPRU	31
MTOR	58
POLR3C	15
RGS21	5
GBP1	11
KPNA6	14
SLC16A4	9
TMEM59	8
C1orf50	5
TMEM269	7
NT5C1A	6
PPIH	10
ETNK2	8
DIO1	4
NRAS	7
YIPF1	11
PRKACB	10
RHD	9
CHIT1	11
MYBPH	11
RSRP1	5
RSBN1	7
FOXO6	3
SETSIP	1
BSND	4
AC243547.3	6
NOTCH2	34
TAS1R3	6
CORT	2
FCMR	8
IL24	7
RASSF5	6
NUCKS1	7
ERMAP	12
ZBTB8A	5
HPCAL4	4
TRNAU1AP	9
ZBED6	18
PRELP	3
DISP3	21
PRKAA2	9
TTLL7	21
EDN2	5
BTBD8	18
LRP8	19
TIMM17A	6
CSRP1	7
RPL11	6
CLIC4	6
CDK11A	20
CACNA1S	44
HDAC1	14
CFHR2	5
CFHR3	6
ALPL	12
LMOD1	3
TNNI1	9
LRIG2	18
RNF115	9
NBPF15	21
ADGRL4	15
ZMYM4	30
DMBX1	4
ZNF644	6
LRRC47	7
LACTBL1	6
GJA4	2
MED18	3
SESN2	10
LYPLA2	10
TMEM39B	9
KHDRBS1	9
ALX3	4
AK4	6
STRIP1	21
